Season,Seed,TeamID,TeamName,Region
2003,5,1323,Notre Dame,Z
2007,6,1323,Notre Dame,Y
2008,5,1323,Notre Dame,W
2010,6,1323,Notre Dame,X
2011,2,1323,Notre Dame,Z
2012,7,1323,Notre Dame,Y
2013,7,1323,Notre Dame,Z
2015,3,1323,Notre Dame,Y
2016,6,1323,Notre Dame,W
2017,5,1323,Notre Dame,X
2022,11,1323,Notre Dame,X
1985,8,1437,Villanova,Z
1986,10,1437,Villanova,Y
1988,6,1437,Villanova,Y
1990,12,1437,Villanova,Y
1991,9,1437,Villanova,W
1995,3,1437,Villanova,W
1996,3,1437,Villanova,X
1997,4,1437,Villanova,W
1999,8,1437,Villanova,X
2005,5,1437,Villanova,Z
2006,1,1437,Villanova,Y
2007,9,1437,Villanova,Z
2008,12,1437,Villanova,X
2009,3,1437,Villanova,W
2010,2,1437,Villanova,X
2011,9,1437,Villanova,W
2013,9,1437,Villanova,X
2014,2,1437,Villanova,W
2015,1,1437,Villanova,W
2016,2,1437,Villanova,Y
2017,1,1437,Villanova,W
2018,1,1437,Villanova,W
2019,6,1437,Villanova,Z
2021,5,1437,Villanova,Z
2022,2,1437,Villanova,Z
1985,9,1173,Dayton,Z
1990,12,1173,Dayton,X
2000,11,1173,Dayton,Z
2003,4,1173,Dayton,Y
2004,10,1173,Dayton,X
2009,11,1173,Dayton,Y
2014,11,1173,Dayton,X
2015,11,1173,Dayton,W
2016,7,1173,Dayton,X
2017,7,1173,Dayton,Z
1985,10,1333,Oregon St,Z
1988,12,1333,Oregon St,Y
1989,6,1333,Oregon St,X
1990,5,1333,Oregon St,Z
2016,7,1333,Oregon St,Z
2021,12,1333,Oregon St,Y
1985,11,1120,Auburn,Z
1986,8,1120,Auburn,Z
1987,8,1120,Auburn,Y
1988,8,1120,Auburn,Y
1999,1,1120,Auburn,Y
2000,7,1120,Auburn,Y
2003,10,1120,Auburn,W
2018,4,1120,Auburn,X
2019,5,1120,Auburn,Y
2022,2,1120,Auburn,Y
1985,12,1275,Miami OH,Z
1986,10,1275,Miami OH,X
1992,13,1275,Miami OH,Z
1995,12,1275,Miami OH,Y
1997,13,1275,Miami OH,Y
1999,10,1275,Miami OH,X
2007,14,1275,Miami OH,Y
1985,13,1298,Navy,Z
1986,7,1298,Navy,W
1987,8,1298,Navy,W
1994,16,1298,Navy,Z
1997,15,1298,Navy,Z
1998,16,1298,Navy,W
1985,14,1325,Ohio,Z
1994,12,1325,Ohio,W
2005,13,1325,Ohio,Z
2010,14,1325,Ohio,Y
2012,13,1325,Ohio,X
2021,13,1325,Ohio,X
1985,15,1292,MTSU,Z
1987,12,1292,MTSU,W
1989,13,1292,MTSU,Z
2013,11,1292,MTSU,Y
2016,15,1292,MTSU,X
2017,12,1292,MTSU,Z
1985,16,1192,F Dickinson,Z
1988,16,1192,F Dickinson,X
1998,15,1192,F Dickinson,W
2005,16,1192,F Dickinson,X
2016,16,1192,F Dickinson,W
2019,16,1192,F Dickinson,X
1986,3,1231,Indiana,W
1987,1,1231,Indiana,Y
1988,4,1231,Indiana,W
1989,2,1231,Indiana,X
1990,8,1231,Indiana,W
1991,2,1231,Indiana,X
1992,2,1231,Indiana,X
1993,1,1231,Indiana,X
1994,5,1231,Indiana,W
1995,9,1231,Indiana,X
1996,6,1231,Indiana,Y
1997,8,1231,Indiana,W
1998,7,1231,Indiana,W
1999,6,1231,Indiana,Y
2000,6,1231,Indiana,W
2001,4,1231,Indiana,X
2002,5,1231,Indiana,Y
2003,7,1231,Indiana,Y
2006,6,1231,Indiana,X
2007,7,1231,Indiana,Z
2008,8,1231,Indiana,W
2012,4,1231,Indiana,Y
2013,1,1231,Indiana,W
2015,10,1231,Indiana,Y
2016,5,1231,Indiana,W
2022,12,1231,Indiana,W
1986,5,1438,Virginia,W
1987,5,1438,Virginia,Z
1989,5,1438,Virginia,Z
1990,7,1438,Virginia,Y
1991,7,1438,Virginia,Z
1993,6,1438,Virginia,W
1994,7,1438,Virginia,Z
1995,4,1438,Virginia,Y
1997,9,1438,Virginia,Z
2001,5,1438,Virginia,Z
2007,4,1438,Virginia,X
2012,10,1438,Virginia,Z
2014,1,1438,Virginia,W
2015,2,1438,Virginia,W
2016,1,1438,Virginia,X
2017,5,1438,Virginia,W
2018,1,1438,Virginia,Y
2019,1,1438,Virginia,Z
2021,4,1438,Virginia,X
1986,6,1386,St Joseph's PA,W
1997,4,1386,St Joseph's PA,Z
2001,9,1386,St Joseph's PA,X
2003,7,1386,St Joseph's PA,W
2004,1,1386,St Joseph's PA,Y
2008,11,1386,St Joseph's PA,W
2014,10,1386,St Joseph's PA,W
2016,8,1386,St Joseph's PA,Z
1986,9,1452,West Virginia,W
1987,7,1452,West Virginia,W
1989,7,1452,West Virginia,W
1992,12,1452,West Virginia,W
1998,10,1452,West Virginia,X
2005,7,1452,West Virginia,W
2006,6,1452,West Virginia,W
2008,7,1452,West Virginia,Z
2009,6,1452,West Virginia,Y
2010,2,1452,West Virginia,W
2011,5,1452,West Virginia,W
2012,10,1452,West Virginia,W
2015,5,1452,West Virginia,Y
2016,3,1452,West Virginia,W
2017,4,1452,West Virginia,X
2018,5,1452,West Virginia,W
2021,3,1452,West Virginia,Y
1986,11,1350,Richmond,W
1988,13,1350,Richmond,W
1990,14,1350,Richmond,W
1991,15,1350,Richmond,W
1998,14,1350,Richmond,W
2004,11,1350,Richmond,Y
2010,7,1350,Richmond,X
2011,12,1350,Richmond,Z
2022,12,1350,Richmond,Y
1986,14,1156,Cleveland St,W
2009,13,1156,Cleveland St,Y
2021,15,1156,Cleveland St,Y
1986,15,1135,Brown,W
1986,16,1290,MS Valley St,W
1992,16,1290,MS Valley St,Z
1996,15,1290,MS Valley St,W
2008,16,1290,MS Valley St,Z
2012,16,1290,MS Valley St,Y
1986,8,1239,Jacksonville,X
1986,14,1114,Ark Little Rock,X
1989,13,1114,Ark Little Rock,Y
1990,16,1114,Ark Little Rock,Z
2011,16,1114,Ark Little Rock,Y
2016,12,1114,Ark Little Rock,X
1986,15,1103,Akron,X
2009,13,1103,Akron,X
2011,15,1103,Akron,Z
2013,12,1103,Akron,X
2022,13,1103,Akron,W
1986,8,1443,WKU,Y
1987,10,1443,WKU,W
1993,7,1443,WKU,Y
1994,11,1443,WKU,Y
1995,8,1443,WKU,Y
2001,14,1443,WKU,Z
2002,9,1443,WKU,X
2003,13,1443,WKU,Z
2008,12,1443,WKU,Z
2009,12,1443,WKU,X
2012,16,1443,WKU,Y
2013,16,1443,WKU,X
1986,9,1304,Nebraska,Y
1991,3,1304,Nebraska,Y
1992,8,1304,Nebraska,Z
1993,10,1304,Nebraska,W
1994,6,1304,Nebraska,W
1998,11,1304,Nebraska,X
2014,11,1304,Nebraska,Z
1986,12,1462,Xavier,Y
1987,13,1462,Xavier,Y
1988,11,1462,Xavier,X
1989,14,1462,Xavier,Z
1990,6,1462,Xavier,X
1991,14,1462,Xavier,Y
1993,9,1462,Xavier,X
1995,11,1462,Xavier,Z
1997,7,1462,Xavier,Y
1998,6,1462,Xavier,W
2001,11,1462,Xavier,Y
2002,7,1462,Xavier,Z
2003,3,1462,Xavier,X
2004,7,1462,Xavier,W
2006,14,1462,Xavier,X
2007,9,1462,Xavier,X
2008,3,1462,Xavier,Z
2009,4,1462,Xavier,W
2010,6,1462,Xavier,Z
2011,6,1462,Xavier,W
2012,10,1462,Xavier,Y
2014,12,1462,Xavier,Y
2015,6,1462,Xavier,Z
2016,2,1462,Xavier,W
2017,11,1462,Xavier,X
2018,1,1462,Xavier,Z
1986,13,1193,Fairfield,Y
1987,16,1193,Fairfield,Y
1997,16,1193,Fairfield,W
1986,14,1123,Ball St,Y
1989,9,1123,Ball St,Y
1990,12,1123,Ball St,Z
1993,15,1123,Ball St,X
1995,12,1123,Ball St,Z
2000,11,1123,Ball St,Y
1986,15,1265,Marist,Y
1987,14,1265,Marist,Z
1986,16,1172,Davidson,Y
1998,14,1172,Davidson,Z
2002,13,1172,Davidson,Z
2006,15,1172,Davidson,Y
2007,13,1172,Davidson,Y
2008,10,1172,Davidson,X
2012,13,1172,Davidson,Z
2013,14,1172,Davidson,W
2015,10,1172,Davidson,X
2018,12,1172,Davidson,Y
2022,10,1172,Davidson,X
1986,2,1257,Louisville,Z
1988,5,1257,Louisville,Y
1989,4,1257,Louisville,Y
1990,4,1257,Louisville,Z
1992,8,1257,Louisville,X
1993,4,1257,Louisville,X
1994,3,1257,Louisville,Z
1995,11,1257,Louisville,Y
1996,6,1257,Louisville,X
1997,6,1257,Louisville,W
1999,7,1257,Louisville,Y
2000,7,1257,Louisville,Z
2003,4,1257,Louisville,W
2004,10,1257,Louisville,W
2005,4,1257,Louisville,W
2007,6,1257,Louisville,X
2008,3,1257,Louisville,W
2009,1,1257,Louisville,Y
2010,9,1257,Louisville,X
2011,4,1257,Louisville,Z
2012,4,1257,Louisville,Z
2013,1,1257,Louisville,Y
2014,4,1257,Louisville,Y
2015,4,1257,Louisville,W
2017,2,1257,Louisville,Y
2019,7,1257,Louisville,W
1986,7,1133,Bradley,Z
1988,9,1133,Bradley,Y
1996,8,1133,Bradley,W
2006,13,1133,Bradley,X
2019,15,1133,Bradley,W
1986,11,1281,Missouri,Z
1987,4,1281,Missouri,Y
1988,6,1281,Missouri,W
1989,3,1281,Missouri,Y
1990,3,1281,Missouri,Y
1992,5,1281,Missouri,W
1993,10,1281,Missouri,Z
1994,1,1281,Missouri,Z
1995,8,1281,Missouri,X
1999,8,1281,Missouri,Z
2000,9,1281,Missouri,X
2001,9,1281,Missouri,W
2002,12,1281,Missouri,Z
2003,6,1281,Missouri,Y
2009,3,1281,Missouri,Z
2010,10,1281,Missouri,W
2011,11,1281,Missouri,X
2012,2,1281,Missouri,Z
2013,9,1281,Missouri,Y
2018,8,1281,Missouri,Z
2021,9,1281,Missouri,X
1986,13,1419,ULM,Z
1990,15,1419,ULM,X
1991,15,1419,ULM,Y
1992,15,1419,ULM,Y
1993,13,1419,ULM,Y
1996,15,1419,ULM,X
1986,14,1428,Utah,Z
1991,4,1428,Utah,Z
1993,8,1428,Utah,Y
1995,4,1428,Utah,X
1996,4,1428,Utah,X
1997,2,1428,Utah,Z
1998,3,1428,Utah,X
1999,2,1428,Utah,X
2000,8,1428,Utah,Y
2002,12,1428,Utah,Y
2003,9,1428,Utah,Y
2004,11,1428,Utah,Z
2005,6,1428,Utah,Y
2009,5,1428,Utah,Y
2015,5,1428,Utah,X
2016,3,1428,Utah,X
1986,15,1180,Drexel,Z
1994,13,1180,Drexel,W
1995,13,1180,Drexel,W
1996,12,1180,Drexel,Z
2021,16,1180,Drexel,Y
1986,16,1286,Montana St,Z
1996,13,1286,Montana St,Z
2022,14,1286,Montana St,X
1987,4,1395,TCU,W
1998,5,1395,TCU,Y
2018,6,1395,TCU,X
2022,9,1395,TCU,Z
1987,6,1196,Florida,W
1988,6,1196,Florida,Z
1989,7,1196,Florida,Y
1994,3,1196,Florida,W
1995,10,1196,Florida,Z
1999,6,1196,Florida,Z
2000,5,1196,Florida,W
2001,3,1196,Florida,Z
2002,5,1196,Florida,X
2003,2,1196,Florida,X
2004,5,1196,Florida,Y
2005,4,1196,Florida,Z
2006,3,1196,Florida,Y
2007,1,1196,Florida,Y
2010,10,1196,Florida,Z
2011,2,1196,Florida,Y
2012,7,1196,Florida,Z
2013,3,1196,Florida,X
2014,1,1196,Florida,X
2017,4,1196,Florida,W
2018,6,1196,Florida,W
2019,10,1196,Florida,X
2021,7,1196,Florida,Z
1987,15,1204,Ga Southern,W
1992,15,1204,Ga Southern,Z
1987,4,1155,Clemson,X
1989,9,1155,Clemson,X
1990,5,1155,Clemson,W
1996,9,1155,Clemson,Z
1997,4,1155,Clemson,Y
1998,6,1155,Clemson,Y
2008,5,1155,Clemson,X
2009,7,1155,Clemson,X
2010,7,1155,Clemson,W
2011,12,1155,Clemson,W
2018,5,1155,Clemson,X
2021,7,1155,Clemson,Y
1987,6,1344,Providence,X
1989,12,1344,Providence,Z
1990,9,1344,Providence,Z
1994,8,1344,Providence,X
1997,10,1344,Providence,X
2001,10,1344,Providence,Z
2004,5,1344,Providence,Z
2014,11,1344,Providence,W
2015,6,1344,Providence,W
2016,9,1344,Providence,W
2017,11,1344,Providence,W
2018,10,1344,Providence,Z
2022,4,1344,Providence,Y
1987,7,1309,New Orleans,X
1991,14,1309,New Orleans,X
1993,8,1309,New Orleans,X
1996,11,1309,New Orleans,W
2017,16,1309,New Orleans,W
1987,10,1140,BYU,X
1988,4,1140,BYU,Y
1990,12,1140,BYU,W
1991,10,1140,BYU,Z
1992,10,1140,BYU,X
1993,7,1140,BYU,X
1995,8,1140,BYU,Z
2001,12,1140,BYU,X
2003,12,1140,BYU,X
2004,12,1140,BYU,X
2007,8,1140,BYU,X
2008,8,1140,BYU,Z
2009,8,1140,BYU,Z
2010,7,1140,BYU,Z
2011,3,1140,BYU,Y
2012,14,1140,BYU,Z
2014,10,1140,BYU,Z
2015,11,1140,BYU,Z
2021,6,1140,BYU,W
1987,12,1222,Houston,X
1990,8,1222,Houston,Y
1992,10,1222,Houston,Y
2010,13,1222,Houston,Y
2018,6,1222,Houston,Z
2019,3,1222,Houston,Y
2021,2,1222,Houston,Y
2022,5,1222,Houston,Z
1987,13,1283,Missouri St,X
1988,13,1283,Missouri St,Z
1989,14,1283,Missouri St,X
1990,9,1283,Missouri St,X
1992,12,1283,Missouri St,Y
1999,12,1283,Missouri St,W
1987,14,1122,Austin Peay,X
1996,14,1122,Austin Peay,Y
2003,13,1122,Austin Peay,W
2008,15,1122,Austin Peay,Y
2016,16,1122,Austin Peay,Y
1987,16,1137,Bucknell,X
1989,15,1137,Bucknell,Y
2005,14,1137,Bucknell,Z
2006,9,1137,Bucknell,X
2011,14,1137,Bucknell,X
2013,11,1137,Bucknell,W
2017,13,1137,Bucknell,X
2018,14,1137,Bucknell,X
1987,9,1360,San Diego,Y
2003,13,1360,San Diego,X
2008,13,1360,San Diego,Z
1987,12,1401,Texas A&M,Y
2006,12,1401,Texas A&M,W
2007,3,1401,Texas A&M,X
2008,9,1401,Texas A&M,Z
2009,9,1401,Texas A&M,Z
2010,5,1401,Texas A&M,X
2011,7,1401,Texas A&M,Z
2016,3,1401,Texas A&M,Z
2018,7,1401,Texas A&M,Z
1987,4,1417,UCLA,Z
1989,7,1417,UCLA,Z
1990,7,1417,UCLA,W
1991,4,1417,UCLA,W
1992,1,1417,UCLA,X
1993,9,1417,UCLA,Z
1994,5,1417,UCLA,Y
1995,1,1417,UCLA,X
1996,4,1417,UCLA,Y
1997,2,1417,UCLA,Y
1998,6,1417,UCLA,Z
1999,5,1417,UCLA,Y
2000,6,1417,UCLA,Y
2001,4,1417,UCLA,W
2002,8,1417,UCLA,Z
2005,11,1417,UCLA,W
2006,2,1417,UCLA,X
2007,2,1417,UCLA,Z
2008,1,1417,UCLA,Z
2009,6,1417,UCLA,W
2011,7,1417,UCLA,Y
2013,6,1417,UCLA,X
2014,4,1417,UCLA,X
2015,11,1417,UCLA,X
2017,3,1417,UCLA,Z
2018,11,1417,UCLA,W
2021,11,1417,UCLA,W
2022,4,1417,UCLA,W
1987,9,1243,Kansas St,Z
1988,4,1243,Kansas St,X
1989,6,1243,Kansas St,W
1990,11,1243,Kansas St,X
1993,6,1243,Kansas St,Y
1996,10,1243,Kansas St,W
2008,11,1243,Kansas St,X
2010,2,1243,Kansas St,Z
2011,5,1243,Kansas St,Y
2012,8,1243,Kansas St,W
2013,4,1243,Kansas St,Z
2014,9,1243,Kansas St,Y
2017,11,1243,Kansas St,Z
2018,9,1243,Kansas St,Y
2019,4,1243,Kansas St,Z
1987,12,1461,Wyoming,Z
1988,7,1461,Wyoming,Z
2002,11,1461,Wyoming,Z
2015,12,1461,Wyoming,W
2022,12,1461,Wyoming,W
1987,13,1141,C Michigan,Z
2003,11,1141,C Michigan,Z
1987,15,1365,Santa Clara,Z
1993,15,1365,Santa Clara,Z
1995,12,1365,Santa Clara,X
1996,10,1365,Santa Clara,Z
1987,16,1226,Idaho St,Z
1988,11,1348,Rhode Island,W
1993,8,1348,Rhode Island,W
1997,9,1348,Rhode Island,X
1998,8,1348,Rhode Island,Y
1999,12,1348,Rhode Island,X
2017,11,1348,Rhode Island,Y
2018,7,1348,Rhode Island,X
1988,15,1131,Boston Univ,W
1990,16,1131,Boston Univ,W
1997,12,1131,Boston Univ,Y
2002,16,1131,Boston Univ,Z
2011,16,1131,Boston Univ,Z
1988,7,1435,Vanderbilt,X
1989,8,1435,Vanderbilt,W
1991,9,1435,Vanderbilt,Z
1993,3,1435,Vanderbilt,Z
1997,10,1435,Vanderbilt,Y
2004,6,1435,Vanderbilt,X
2007,6,1435,Vanderbilt,W
2008,4,1435,Vanderbilt,X
2010,4,1435,Vanderbilt,Z
2011,5,1435,Vanderbilt,Z
2012,5,1435,Vanderbilt,W
2016,11,1435,Vanderbilt,Y
2017,9,1435,Vanderbilt,X
1988,8,1124,Baylor,X
2008,11,1124,Baylor,Z
2010,3,1124,Baylor,X
2012,3,1124,Baylor,Y
2014,6,1124,Baylor,Z
2015,3,1124,Baylor,Z
2016,5,1124,Baylor,Z
2017,3,1124,Baylor,W
2019,9,1124,Baylor,X
2021,1,1124,Baylor,Z
2022,1,1124,Baylor,W
1988,10,1429,Utah St,X
1998,13,1429,Utah St,X
2000,12,1429,Utah St,X
2001,12,1429,Utah St,W
2003,15,1429,Utah St,Z
2005,14,1429,Utah St,X
2006,12,1429,Utah St,Z
2009,11,1429,Utah St,Z
2010,12,1429,Utah St,X
2011,12,1429,Utah St,Y
2019,8,1429,Utah St,Y
2021,11,1429,Utah St,Z
1988,13,1247,La Salle,X
1989,8,1247,La Salle,Z
1990,4,1247,La Salle,W
1992,13,1247,La Salle,W
2013,13,1247,La Salle,Z
1988,14,1293,Murray St,X
1990,16,1293,Murray St,Y
1991,13,1293,Murray St,X
1992,14,1293,Murray St,Y
1995,15,1293,Murray St,Z
1997,15,1293,Murray St,X
1998,9,1293,Murray St,Y
1999,13,1293,Murray St,Y
2002,14,1293,Murray St,W
2004,12,1293,Murray St,W
2006,14,1293,Murray St,Z
2010,13,1293,Murray St,Z
2012,6,1293,Murray St,Z
2018,12,1293,Murray St,W
2019,12,1293,Murray St,X
2022,7,1293,Murray St,W
1988,15,1185,E Michigan,X
1991,12,1185,E Michigan,W
1996,9,1185,E Michigan,Y
1998,13,1185,E Michigan,W
1988,10,1364,UC Santa Barbara,Y
1990,9,1364,UC Santa Barbara,Y
2002,14,1364,UC Santa Barbara,Z
2010,15,1364,UC Santa Barbara,Y
2011,15,1364,UC Santa Barbara,Y
2021,12,1364,UC Santa Barbara,X
1988,13,1150,Charlotte,Y
1992,7,1150,Charlotte,W
1995,7,1150,Charlotte,W
1997,7,1150,Charlotte,Z
1998,8,1150,Charlotte,W
1999,5,1150,Charlotte,X
2001,9,1150,Charlotte,Y
2002,9,1150,Charlotte,Y
2004,9,1150,Charlotte,Y
2005,7,1150,Charlotte,Z
1988,14,1427,UT San Antonio,Y
1999,16,1427,UT San Antonio,Z
2004,16,1427,UT San Antonio,X
2011,16,1427,UT San Antonio,W
1988,16,1151,Chattanooga,Y
1993,12,1151,Chattanooga,Y
1994,13,1151,Chattanooga,X
1995,15,1151,Chattanooga,X
1997,14,1151,Chattanooga,X
2005,15,1151,Chattanooga,W
2009,16,1151,Chattanooga,Z
2016,12,1151,Chattanooga,W
2022,13,1151,Chattanooga,Z
1988,8,1371,Seton Hall,Z
1989,3,1371,Seton Hall,X
1991,3,1371,Seton Hall,Z
1992,4,1371,Seton Hall,W
1993,2,1371,Seton Hall,Y
1994,10,1371,Seton Hall,X
2000,10,1371,Seton Hall,W
2004,8,1371,Seton Hall,W
2006,10,1371,Seton Hall,Z
2016,6,1371,Seton Hall,X
2017,9,1371,Seton Hall,Z
2018,8,1371,Seton Hall,X
2019,10,1371,Seton Hall,Y
2022,8,1371,Seton Hall,Z
1988,10,1258,Loy Marymount,Z
1989,12,1258,Loy Marymount,Y
1990,11,1258,Loy Marymount,Z
1988,12,1199,Florida St,Z
1989,4,1199,Florida St,Z
1991,7,1199,Florida St,X
1992,3,1199,Florida St,X
1993,3,1199,Florida St,Y
1998,12,1199,Florida St,Y
2009,5,1199,Florida St,W
2010,9,1199,Florida St,Z
2011,10,1199,Florida St,Z
2012,3,1199,Florida St,W
2017,3,1199,Florida St,X
2018,9,1199,Florida St,Z
2019,4,1199,Florida St,X
2021,4,1199,Florida St,W
1988,14,1129,Boise St,Z
1993,14,1129,Boise St,Z
1994,14,1129,Boise St,Z
2008,14,1129,Boise St,W
2013,13,1129,Boise St,Z
2015,11,1129,Boise St,W
2022,8,1129,Boise St,X
1988,15,1317,North Texas,Z
2007,15,1317,North Texas,X
2010,15,1317,North Texas,Z
2021,13,1317,North Texas,Z
1988,16,1165,Cornell,Z
2008,14,1165,Cornell,Y
2009,14,1165,Cornell,Z
2010,12,1165,Cornell,W
1989,3,1390,Stanford,W
1992,12,1390,Stanford,Z
1995,10,1390,Stanford,W
1996,9,1390,Stanford,W
1997,6,1390,Stanford,Z
1998,3,1390,Stanford,Y
1999,2,1390,Stanford,Z
2000,1,1390,Stanford,X
2001,1,1390,Stanford,X
2002,8,1390,Stanford,X
2003,4,1390,Stanford,X
2004,1,1390,Stanford,X
2005,8,1390,Stanford,Y
2007,11,1390,Stanford,X
2008,3,1390,Stanford,Y
2014,10,1390,Stanford,X
1989,10,1397,Tennessee,W
1998,8,1397,Tennessee,X
1999,4,1397,Tennessee,W
2000,4,1397,Tennessee,X
2001,8,1397,Tennessee,Y
2006,2,1397,Tennessee,Z
2007,5,1397,Tennessee,X
2008,2,1397,Tennessee,W
2009,9,1397,Tennessee,W
2010,6,1397,Tennessee,Y
2011,9,1397,Tennessee,X
2014,11,1397,Tennessee,Y
2018,3,1397,Tennessee,Y
2019,2,1397,Tennessee,Z
2021,5,1397,Tennessee,Y
2022,3,1397,Tennessee,Z
1989,11,1278,Minnesota,W
1990,6,1278,Minnesota,Y
1994,6,1278,Minnesota,Z
1995,8,1278,Minnesota,W
1997,1,1278,Minnesota,Y
1999,7,1278,Minnesota,Z
2005,8,1278,Minnesota,Z
2009,10,1278,Minnesota,W
2010,11,1278,Minnesota,Z
2013,11,1278,Minnesota,X
2017,5,1278,Minnesota,Z
2019,10,1278,Minnesota,W
1989,12,1376,South Carolina,W
1997,2,1376,South Carolina,W
1998,3,1376,South Carolina,W
2004,10,1376,South Carolina,Y
2017,7,1376,South Carolina,W
1989,13,1353,Rutgers,W
1991,9,1353,Rutgers,X
2021,10,1353,Rutgers,Y
2022,11,1353,Rutgers,X
1989,14,1373,Siena,W
1999,13,1373,Siena,Z
2002,16,1373,Siena,W
2008,13,1373,Siena,X
2009,9,1373,Siena,Y
2010,13,1373,Siena,X
1989,15,1354,S Carolina St,W
1996,15,1354,S Carolina St,Z
1998,15,1354,S Carolina St,Z
2000,16,1354,S Carolina St,X
2003,16,1354,S Carolina St,W
1989,16,1343,Princeton,W
1990,13,1343,Princeton,X
1991,8,1343,Princeton,W
1992,11,1343,Princeton,W
1996,13,1343,Princeton,Y
1997,12,1343,Princeton,W
1998,5,1343,Princeton,W
2001,15,1343,Princeton,Z
2004,14,1343,Princeton,W
2011,13,1343,Princeton,W
2017,12,1343,Princeton,X
1989,8,1388,St Mary's CA,X
1997,14,1388,St Mary's CA,Z
2005,10,1388,St Mary's CA,X
2008,10,1388,St Mary's CA,Y
2010,10,1388,St Mary's CA,X
2012,7,1388,St Mary's CA,X
2013,11,1388,St Mary's CA,Y
2017,7,1388,St Mary's CA,X
2019,11,1388,St Mary's CA,Z
2022,5,1388,St Mary's CA,W
1989,11,1191,Evansville,X
1992,8,1191,Evansville,Y
1993,14,1191,Evansville,Y
1999,11,1191,Evansville,X
1989,13,1225,Idaho,X
1990,13,1225,Idaho,Z
1989,15,1206,George Mason,X
1999,14,1206,George Mason,W
2001,14,1206,George Mason,X
2006,11,1206,George Mason,Z
2008,12,1206,George Mason,W
2011,8,1206,George Mason,W
1989,16,1352,Robert Morris,X
1990,15,1352,Robert Morris,W
1992,16,1352,Robert Morris,X
2009,15,1352,Robert Morris,Y
2010,15,1352,Robert Morris,X
2015,16,1352,Robert Morris,X
1989,10,1161,Colorado St,Y
1990,10,1161,Colorado St,Z
2003,14,1161,Colorado St,Z
2012,11,1161,Colorado St,Z
2013,8,1161,Colorado St,Y
2022,6,1161,Colorado St,Z
1989,11,1400,Texas,Y
1990,10,1400,Texas,X
1991,5,1400,Texas,Y
1992,8,1400,Texas,W
1994,6,1400,Texas,Y
1995,11,1400,Texas,X
1996,10,1400,Texas,X
1997,10,1400,Texas,W
1999,7,1400,Texas,W
2000,5,1400,Texas,Z
2001,6,1400,Texas,Z
2002,6,1400,Texas,X
2003,1,1400,Texas,X
2004,3,1400,Texas,W
2005,8,1400,Texas,X
2006,2,1400,Texas,W
2007,4,1400,Texas,W
2008,2,1400,Texas,Y
2009,7,1400,Texas,W
2010,8,1400,Texas,W
2011,4,1400,Texas,X
2012,11,1400,Texas,W
2014,7,1400,Texas,Y
2015,11,1400,Texas,Y
2016,6,1400,Texas,Z
2018,10,1400,Texas,Y
2021,3,1400,Texas,W
2022,6,1400,Texas,W
1989,14,1166,Creighton,Y
1991,11,1166,Creighton,Z
1999,10,1166,Creighton,Y
2000,10,1166,Creighton,Y
2001,10,1166,Creighton,W
2002,12,1166,Creighton,X
2003,6,1166,Creighton,Z
2005,10,1166,Creighton,W
2007,10,1166,Creighton,X
2012,8,1166,Creighton,X
2013,7,1166,Creighton,Y
2014,3,1166,Creighton,Z
2017,6,1166,Creighton,Y
2018,8,1166,Creighton,Y
2021,5,1166,Creighton,X
2022,9,1166,Creighton,Y
1989,16,1270,McNeese St,Y
2002,14,1270,McNeese St,X
1989,11,1375,South Alabama,Z
1991,13,1375,South Alabama,Z
1997,13,1375,South Alabama,X
1998,12,1375,South Alabama,X
2006,14,1375,South Alabama,Y
2008,10,1375,South Alabama,W
1989,16,1190,ETSU,Z
1990,13,1190,ETSU,Y
1991,10,1190,ETSU,Y
1992,14,1190,ETSU,Z
2003,15,1190,ETSU,W
2004,13,1190,ETSU,W
2009,16,1190,ETSU,W
2010,16,1190,ETSU,W
2017,13,1190,ETSU,W
1990,1,1163,Connecticut,W
1991,11,1163,Connecticut,Y
1992,9,1163,Connecticut,Z
1994,2,1163,Connecticut,W
1995,2,1163,Connecticut,X
1996,1,1163,Connecticut,Y
1998,2,1163,Connecticut,W
1999,1,1163,Connecticut,Z
2000,5,1163,Connecticut,X
2002,2,1163,Connecticut,W
2003,5,1163,Connecticut,X
2004,2,1163,Connecticut,X
2005,2,1163,Connecticut,Z
2006,1,1163,Connecticut,Z
2008,4,1163,Connecticut,Z
2009,1,1163,Connecticut,Z
2011,3,1163,Connecticut,X
2012,9,1163,Connecticut,Y
2014,7,1163,Connecticut,W
2016,9,1163,Connecticut,Y
2021,7,1163,Connecticut,W
2022,5,1163,Connecticut,X
1990,9,1143,California,W
1993,6,1143,California,X
1994,5,1143,California,Z
1996,12,1143,California,X
1997,5,1143,California,W
2001,8,1143,California,Z
2002,6,1143,California,Y
2003,8,1143,California,W
2006,7,1143,California,W
2009,7,1143,California,Z
2010,8,1143,California,X
2012,12,1143,California,X
2013,12,1143,California,W
2016,4,1143,California,Y
1990,13,1379,Southern Miss,W
1991,11,1379,Southern Miss,W
2012,9,1379,Southern Miss,W
1990,14,1411,TX Southern,X
1994,15,1411,TX Southern,X
1995,15,1411,TX Southern,Y
2003,16,1411,TX Southern,X
2014,16,1411,TX Southern,Y
2015,15,1411,TX Southern,Z
2017,16,1411,TX Southern,Z
2018,16,1411,TX Southern,Z
2021,16,1411,TX Southern,W
